CAS	換算先	分子式からの値	リストの値	差
13859-51-3	Co	27.060	23.530	3.530
14323-57-0	Co	27.060	23.530	3.530
21361-38-6	Co	27.060	23.530	3.530
14039-23-7	Co	24.329	20.800	3.529
14931-82-9	Pb	41.824	38.300	3.524
112022-83-0	B	3.900	7.400	3.500
14644-55-4	V	25.490	22.000	3.490
15005-90-0	Cr	24.217	20.790	3.427
50929-82-3	Cr	37.613	34.200	3.413
7788-98-9	Cr	37.613	34.200	3.413
127026-24-8	Hg	58.547	61.800	3.253
62207-76-5	Co	16.315	19.400	3.085
57693-02-4	Co	16.315	19.400	3.085
10486-00-7	B	10.082	7.000	3.082
27399-92-4	B	10.082	7.000	3.082
12703-76-3	B	10.082	7.000	3.082
1026991-29-6	B	10.082	7.000	3.082
13877-16-2	B	6.405	9.400	2.995
12527-08-1	Cr	21.895	24.820	2.925
37809-34-0	Cr	21.895	24.820	2.925
12007-89-5	B	24.104	27.000	2.896
10588-01-9	Cr	42.586	39.700	2.886
28038-39-3	Co	11.118	13.970	2.852
104548-59-6	Mo	58.550	61.400	2.850
12044-50-7	As	57.662	60.500	2.838
14059-33-7	V	18.463	15.700	2.763
1678543-69-5	V	18.463	15.700	2.763
1197994-50-5	V	18.463	15.700	2.763
13597-58-5	V	32.959	35.700	2.741
72589-96-9	Cd	53.936	51.200	2.736
73491-34-6	Hg	47.500	50.200	2.700
17856-92-7	Sb	45.817	43.200	2.617
99035-51-5	As	45.298	47.900	2.602
13782-01-9	Co	15.555	13.000	2.555
1303-94-2	B	23.107	25.600	2.493
7789-09-5	Cr	43.652	41.300	2.352
13464-92-1	Cd	34.889	32.600	2.289
64070-12-8	Sb	37.473	39.700	2.227
64070-10-6	Sb	37.473	39.700	2.227
64070-11-7	Sb	37.473	39.700	2.227
12054-85-2	Mo	56.523	54.300	2.223
13466-27-8	Be	8.039	5.930	2.109
1332-77-0	B	16.402	18.500	2.098
1189141-74-9	B	16.402	18.500	2.098
6477-64-1	Pb	31.233	33.300	2.067
7787-56-6	Be	6.960	5.000	1.960
12435-86-8	V	33.793	35.700	1.907
21797-13-7	B	4.867	6.700	1.833
39963-03-6	B	9.673	11.500	1.827
69140-60-9	Co	18.953	20.700	1.747
10234-99-8	Mn	19.145	17.400	1.745
52846-30-7	B	8.743	7.000	1.743
18283-88-0	B	8.743	7.000	1.743
55276-94-3	B	8.743	7.000	1.743
56185-21-8	B	8.743	7.000	1.743
10031-21-7	Pb	43.075	44.800	1.725
22088-57-9	Co	12.833	11.120	1.713
3367-30-4	Hg	49.259	47.600	1.659
7787-50-0	Be	7.046	5.520	1.526
14986-94-8	V	41.797	40.300	1.497
1029364-19-9	V	41.797	40.300	1.497
56451-33-3	V	41.797	40.300	1.497
15275-08-8	Co	13.385	11.900	1.485
217972-77-5	As	59.445	60.900	1.455
188947-55-9	As	59.445	60.900	1.455
12393-61-2	As	59.445	60.900	1.455
352030-72-9	As	59.445	60.900	1.455
14652-46-1	Co	16.471	15.100	1.371
67906-12-1	Ni	15.080	13.800	1.280
15915-03-4	Mn	57.133	58.400	1.267
75513-04-1	Hg	47.019	45.900	1.119
14874-86-3	Be	8.435	7.400	1.035
13517-27-6	Zn	15.230	14.200	1.030
176547-68-5	Pb	72.116	73.100	0.984
30363-28-1	Cd	25.057	24.100	0.957
16569-86-1	Cr	21.680	20.750	0.930
68130-38-1	V	47.182	48.100	0.918
99035-51-5	V	15.400	16.300	0.900
23273-02-1	B	29.717	30.600	0.883
30031-44-8	Mn	47.048	47.900	0.852
1303-39-5	As	32.758	31.920	0.838
209416-66-0	Mn	46.971	47.800	0.829
2850-75-1	Mn	46.971	47.800	0.829
185299-40-5	Mn	46.971	47.800	0.829
598-62-9	Mn	46.971	47.800	0.829
27288-44-4	Sb	16.572	17.400	0.828
102129-38-4	Sb	16.572	17.400	0.828
80640-84-2	Sb	16.572	17.400	0.828
14172-90-8	Co	8.774	9.600	0.826
1303-72-6	B	20.819	20.000	0.819
17406-54-1	Pb	63.697	64.500	0.803
2605-44-9	Cd	21.910	22.700	0.790
15124-13-7	B	7.019	7.800	0.781
3333-67-3	Ni	48.620	49.400	0.780
17301-01-8	Ni	48.620	49.400	0.780
513-79-1	Co	48.722	49.500	0.778
10381-36-9	Ni	47.325	48.100	0.775
13455-36-2	Co	47.426	48.200	0.774
10101-56-1	Co	47.426	48.200	0.774
36490-77-4	B	3.557	2.790	0.767
32512-08-6	Mo	42.112	42.870	0.758
513-78-0	Cd	64.443	65.200	0.757
93820-02-1	Cd	64.443	65.200	0.757
12515-76-3	Sb	52.679	53.400	0.721
39357-85-2	Sb	52.679	53.400	0.721
8007-28-1	Sb	52.679	53.400	0.721
59922-49-5	Sb	52.679	53.400	0.721
7789-04-0	Cr	34.666	35.380	0.714
