1224854-28-7	1224854-28-7
Bromotetrafluoropropane	70192-71-1
Bromotetrafluoropropane	70192-84-6
Bromotrifluoroethane	421-06-7
Bromotrifluoroethane	430-90-0
Bromotrifluoropropane	1177737-87-9
Bromotrifluoropropane	2356063-97-1
Bromotrifluoropropane	421-46-5
Bromotrifluoropropane	460-32-2
Bromotrifluoropropane	70192-75-5
Bromotrifluoropropane	70192-85-7
Dibromodifluoroethane	359-19-3
Dibromodifluoroethane	430-85-3
Dibromodifluoroethane	75-82-1
Dibromodifluoropropane	154193-90-5
Dibromodifluoropropane	460-25-3
Dibromodifluoropropane	51584-25-9
Dibromodifluoropropane	597-34-2
Dibromodifluoropropane	70192-79-9
Dibromofluoroethane	2310-93-2
Dibromofluoroethane	358-97-4
Dibromofluoroethane	471-17-0
Dibromofluoropropane	1786-38-5
Dibromofluoropropane	1824138-88-6
Dibromofluoropropane	453-00-9
Dibromofluoropropane	51584-26-0
Dibromofluoropropane	62135-10-8
Dibromofluoropropane	62135-11-9
Dibromopentafluoropropane	20095-20-9
Dibromopentafluoropropane	431-78-7
Dibromopentafluoropropane	431-88-9
Dibromopentafluoropropane	5061-70-1
Dibromopentafluoropropane	53692-41-4
Dibromopentafluoropropane	53692-42-5
Dibromopentafluoropropane	661-80-3
Dibromopentafluoropropane	70192-61-9
Dibromopentafluoropropane	958823-08-0
Dibromotetrafluoropropane	22692-17-7
Dibromotetrafluoropropane	29118-28-3
Dibromotetrafluoropropane	29118-29-4
Dibromotetrafluoropropane	362631-55-8
Dibromotetrafluoropropane	362631-56-9
Dibromotetrafluoropropane	421-92-1
Dibromotetrafluoropropane	460-86-6
Dibromotetrafluoropropane	501435-65-0
Dibromotetrafluoropropane	508-46-3
Dibromotrifluoroethane	1035804-16-0
Dibromotrifluoroethane	108662-84-6
Dibromotrifluoroethane	353-97-9
Dibromotrifluoroethane	354-04-1
Dibromotrifluoroethane	354-30-3
Dibromotrifluoroethane	66542-88-9
Dibromotrifluoroethane	7304-53-2
Dibromotrifluoropropane	110003-27-5
Dibromotrifluoropropane	1309602-74-1
Dibromotrifluoropropane	431-21-0
Dibromotrifluoropropane	460-60-6
Dibromotrifluoropropane	500043-67-4
Dibromotrifluoropropane	70192-73-3
Dibromotrifluoropropane	70192-83-5
Dibromotrifluoropropane	7125-94-2
Hexabromofluoropropane	2384981-15-9
Hexabromofluoropropane	958811-66-0
Pentabromodifluoropropane	2386166-91-0
Pentabromodifluoropropane	958823-07-9
Pentabromofluoropropane	2384689-77-2
Pentabromofluoropropane	958811-26-2
RR-09007-3	RR-09007-3
RR-09008-4	RR-09008-4
RR-09014-2	RR-09014-2
RR-09015-3	RR-09015-3
RR-09016-4	RR-09016-4
RR-09017-5	RR-09017-5
RR-09018-6	RR-09018-6
RR-09019-7	RR-09019-7
RR-09020-0	RR-09020-0
RR-09021-1	RR-09021-1
RR-09022-2	RR-09022-2
RR-09023-3	RR-09023-3
RR-09024-4	RR-09024-4
RR-09025-5	RR-09025-5
RR-09026-6	RR-09026-6
RR-09027-7	RR-09027-7
RR-09409-7	RR-09409-7
RR-09410-0	RR-09410-0
RR-09411-1	RR-09411-1
RR-09413-3	RR-09413-3
RR-09414-4	RR-09414-4
RR-22879-5	RR-22879-5
Tetrabromodifluoropropane	148875-98-3
Tetrabromodifluoropropane	2384150-94-9
Tetrabromodifluoropropane	958811-30-8
Tetrabromofluoroethane	306-80-9
Tetrabromofluoropropane	148875-95-0
Tetrabromotrifluoropropane	958807-65-3
Tribromodifluoroethane	677-34-9
Tribromodifluoropropane	362631-77-4
Tribromodifluoropropane	666-25-1
Tribromodifluoropropane	70192-80-2
Tribromodifluoropropane	958807-66-4
Tribromofluoroethane	172912-75-3
Tribromofluoroethane	420-88-2
Tribromofluoroethane	598-67-4
Tribromofluoropropane	1908446-73-0
Tribromofluoropropane	75372-14-4
Tribromotetrafluoropropane	1081845-71-7
Tribromotetrafluoropropane	666-48-8
Tribromotetrafluoropropane	958807-64-2
Tribromotrifluoropropane	1393524-84-9
Tribromotrifluoropropane	421-90-9
Tribromotrifluoropropane	431-48-1
