83704-21-6	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
19158-51-1	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
15333-24-1	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
83690-98-6	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
621-50-1	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
72269-54-6	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
83704-23-8	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
64985-85-9	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
34816-53-0	"Present ([PC029])" As Polychlorinated dibenzodioxins [136677-09-3]
191234-22-7	"Present ([PC036])" As Hydrocyanic acid [74-90-8]
29446-15-9	"Present ([PC029])" As Polychlorinated dibenzodioxins [136677-09-3]
513-96-2	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
29457-73-6	"Present ([PC035])" As Perfluorooctanoic acid salts [RR-64340-3]
83704-54-5	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
RR-32086-5	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
592-01-8	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
24478-74-8	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
67859-41-0	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
535-37-5	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
58802-09-8	"Present ([PC029])" As Polychlorinated dibenzodioxins [136677-09-3]
60969-19-9	"Present ([PC037])" As Thallium compounds [RR-00575-4]
74992-98-6	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
23586-55-2	"Present ([PC037])" As Thallium compounds [RR-00575-4]
98241-25-9	"Present ([PC035])" As Perfluorooctanoic acid salts [RR-64340-3]
