90045-36-6	Ginkgo biloba, extract (Extractives and their physically modified derivatives such as tinctures, concretes, absolutes, essential oils, oleoresins, terpenes, terpene-free fractions, distillates, residues, etc., obtained from ginkgo biloba, ginkgoaceae)
9041-93-4	Bleomycin, sulfate (salt)
91-08-7	2,6-Toluene diisocyanate
91-20-3	Naphthalene
91-22-5	Quinoline
91-94-1	3,3'-Dichlorobenzidine
924-16-3	N-Nitrosodi-n-butylamine
924-42-5	N-Methylolacrylamide
93-65-2	2-(4-Chloro-2-methylphenoxy)propanoic acid
93-72-1	2-(2,4,5-Trichlorophenoxy)propanoic acid
930-55-2	N-Nitrosopyrrolidine
94-58-6	Dihydrosafrole
94-59-7	Safrole
94-74-6	(4-Chloro-2-methylphenoxy)acetic acid
94-75-7	(2,4-Dichlorophenoxy)acetic acid
94-78-0	Phenazopyridine
95-06-7	Sulfallate
95-54-5	1,2-Benzenediamine
95-80-7	2,4-Diaminotoluene
95-83-0	1,2-Benzenediamine, 4-chloro-
95-85-2	2-Amino-4-chlorophenol
95-95-4	2,4,5-Trichlorophenol
96-12-8	1,2-Dibromo-3-chloropropane
96-13-9	2,3-Dibromopropan-1-ol
96-23-1	1,3-Dichloro-2-propanol
96-24-2	3-Monochloro-1,2-propanediol
96-33-3	Methyl acrylate
97-54-1	Isoeugenol
97-56-3	ortho-Aminoazotoluene
97-88-1	Butyl methacrylate
98-00-0	Furfuryl alcohol
98-56-6	4-Chlorobenzotrifluoride
98-82-8	Cumene
98-83-9	.alpha.-Methylstyrene
98-95-3	Nitrobenzene
99-97-8	N,N-Dimethyl-p-toluidine
LU|25962-77-0	25962-77-0
LU|Antimony trioxide	Antimony trioxide
LU|Bitumens, straight-run, and their emissions during road-paving	Bitumens, straight-run, and their emissions during road-paving
LU|Bleomycins	Bleomycins
LU|CAS 308068-56-6 but that general listing is on Group 3	CAS 308068-56-6 but that general listing is on Group 3
LU|Chlordane and Heptachlor	Chlordane and Heptachlor
LU|Chlorinated paraffins	Chlorinated paraffins
LU|Chlorophenoxy herbicides	Chlorophenoxy herbicides
LU|Cumene	Cumene
LU|DDT and associated compounds	DDT and associated compounds
LU|Fuel oils (heating oils)	Fuel oils (heating oils)
LU|Hexachlorocyclohexanes	Hexachlorocyclohexanes
LU|High nickel alloys	High nickel alloys
LU|Magenta: mixtures composed of CI Basic Red 9 or methyl fuchsin or dimethyl fuchsin or trimethyl fuchsin	Magenta: mixtures composed of CI Basic Red 9 or methyl fuchsin or dimethyl fuchsin or trimethyl fuchsin
LU|Man-made vitreous fibres	Man-made vitreous fibres
LU|Mercury and Mercury compounds	Mercury and Mercury compounds
LU|Metallic nickel and nickel alloys	Metallic nickel and nickel alloys
LU|Phenobarbital and its sodium salt	Phenobarbital and its sodium salt
LU|Phenytoin	Phenytoin
LU|Pickled vegetables	Pickled vegetables
LU|Polychlorophenols and their sodium salts combined exposure	Polychlorophenols and their sodium salts combined exposure
LU|Progestins	Progestins
LU|Saccharin	Saccharin
LU|Toluene diisocyanates	Toluene diisocyanates
LU|Toxins derived from Fusarium moniliforme	Toxins derived from Fusarium moniliforme
LU|Trp-P-1 and its acetate	Trp-P-1 and its acetate
LU|Trp-P-2 and its acetate	Trp-P-2 and its acetate
LU|arsenic in drinking water	arsenic in drinking water
LU|parent compound CAS 119-93-7 3,3'-Dimethylbenzidine	parent compound CAS 119-93-7 3,3'-Dimethylbenzidine
RR-00032-8	Bracken fern
RR-00033-9	Progestins
RR-00059-9	Chlorophenoxy herbicides
RR-00061-3	Bitumens, extracts of steam-refined and air-refined
RR-00266-4	Gasoline engine exhaust
RR-00544-7	Carpentry and joinery
RR-01203-3	Textile manufacturing industry
RR-01544-1	Oestrogen-progestin replacement therapy
RR-01622-8	2,4,5-T esters
RR-01705-0	Pickled vegetables, traditional asian
RR-01706-1	Toxins derived from Fusarium moniliforme
RR-01741-4	Residual (heavy) fuel oils
RR-01745-8	Nitrilotriacetic acid salts
RR-01858-6	Methylmercury compounds
RR-02802-4	Dry cleaning (occupational exposures in)
RR-02803-5	Printing processes (occupational exposures in)
RR-03628-2	Human immunodeficiency virus type 2 (infection with)
RR-03630-6	Schistosoma japonicum (infection with)
RR-04015-3	2,4-D esters
RR-04029-9	Nickel alloys
RR-04061-9	Sodium salts of polychlorophenols
RR-04062-0	Progestogen-only contraceptives
RR-04112-3	Goldenseal root powder
RR-10391-3	Magnetic fields (extremely low-frequency)
RR-13333-5	Polychlorophenols
RR-16330-4	Aloe vera whole leaf extract (native)
RR-192928-8	Weapons-grade tungsten (with nickel and cobalt) alloy
RR-33952-6	Magenta (containing CI Basic Red 9)
RR-42768-9	Perineal use of talc (non-asbestiform)-based body powder
RR-56764-6	Human papillomavirus type 66
RR-57112-0	Human papillomaviruses: some types of HPV genus beta
RR-64366-3	Human papillomavirus type 97
RR-64367-4	Human papillomavirus type 85
RR-64368-5	Human papillomavirus type 69
RR-64369-6	Human papillomavirus type 34
RR-64370-9	Human papillomavirus type 30
RR-64371-0	Human papillomavirus type 82
RR-64372-1	Human papillomavirus type 73
RR-64373-2	Human papillomavirus type 70
RR-64374-3	Human papillomavirus type 67
RR-64375-4	Human papillomavirus type 53
RR-64376-5	Human papillomavirus type 26
RR-86329-6	JC viruses
RR-86330-9	BK viruses
RR-86335-4	Cytomegalovirus
RR-89322-1	Radiofrequency electromagnetic fields
RR-99787-5	Bitumens, hard, and their emissions during mastic asphalt work
