01	RR-03639-5
04	RR-64087-9
04-001	21068-51-9
04-002	30102-97-7
04-003	34256-71-8
04-004	73207-98-4
04-005	161935-16-6
04-006	161935-18-8
04-007	170082-85-6
05	2625-76-5
06	172672-70-7
06	176327-97-2
06	39472-40-7
06	505-60-2
06	6755-76-6
06	68157-62-0
06	69020-37-7
07	63869-13-6
08	3563-36-8
09	63905-10-2
10	142868-93-7
11	142868-94-8
12	63918-90-1
13	63918-89-8
14	34461-56-8
14	541-25-3
15	40334-69-8
16	40334-70-1
17	3590-07-6
17	538-07-8
18	51-75-2
18	55-86-7
19	555-77-1
19	817-09-4
20	11017-04-2
20	35523-89-8
20	35554-08-6
20	51938-46-6
20	55803-44-6
21	9009-86-3
22	2387495-99-8
22	2387496-12-8
22	RR-182902-3
22	RR-182903-4
22	RR-182904-5
23	RR-182908-9
23	RR-182909-0
23	RR-182910-3
24	RR-182905-6
24	RR-182906-7
24	RR-182907-8
25	2387496-00-4
25	2387496-04-8
25	2387496-06-0
25	RR-182911-4
25	RR-182912-5
25	RR-182913-6
26	2387496-14-0
26	RR-182899-5
27	77104-62-2
27	RR-182900-1
28	RR-182898-4
29	77104-00-8
29	RR-182897-3
