2387496-04-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (H or <=C10, including cycloalkyl) N-(1-(dialkyl(<=C10, including cycloalkyl)amino))alkylidene(H or <=C10, including cycloalkyl) phosphoramidofluoridates and corresponding alkylated or protonated salts)
2387496-06-0	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (H or <=C10, including cycloalkyl) N-(1-(dialkyl(<=C10, including cycloalkyl)amino))alkylidene(H or <=C10, including cycloalkyl) phosphoramidofluoridates and corresponding alkylated or protonated salts)
2387496-12-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under P-Alkyl (H or <=C10, including cycloalkyl) N-(1-(dialkyl(<=C10, including cycloalkyl)amino))alkylidene(H or <=C10, including cycloalkyl) phosphonamidic fluorides and corresponding alkylated or protonated salts)
2625-76-5	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
7784-34-1	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
35523-89-8	Schedule 1: Chemicals which can be used as chemical weapons
3563-36-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
382-21-8	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
40334-69-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under Lewisites)
40334-70-1	Schedule 1: Chemicals which can be used as chemical weapons (listed under Lewisites)
464-07-3	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
6581-06-2	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
50782-69-9	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (H or C<=10 including cycloalkyl) S-2-dialkyl (methyl, ethyl, n-propyl or isopropyl)-aminoethyl alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonothiolates and corresponding alkylated or protonated salts)
51-75-2	Schedule 1: Chemicals which can be used as chemical weapons (listed under Nitrogen mustards)
505-60-2	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
506-77-4	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
538-07-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under Nitrogen mustards)
