PC008	103399-29-7
PC008	10341-89-6
PC008	103458-15-7
PC008	10361-02-1
PC008	10366-02-6
PC008	10375-56-1
PC008	104-59-6
PC008	104-60-9
PC008	10403-65-3
PC008	10403-66-4
PC008	104114-64-9
PC008	10415-75-5
PC008	1043-49-8
PC008	104325-07-7
PC008	104325-08-8
PC008	104335-53-7
PC008	104339-46-0
PC008	10451-12-4
PC008	10507-38-7
PC008	10507-40-1
PC008	10507-41-2
PC008	10507-42-3
PC008	105260-39-7
PC008	106168-40-5
PC008	107-26-6
PC008	107-27-7
PC008	107-28-8
PC008	1071-39-2
PC008	1077-98-1
PC008	108-07-6
PC008	109-62-6
PC008	11083-41-3
PC008	11110-52-4
PC008	1126-48-3
PC008	113722-57-9
PC008	1142-64-9
PC008	115-09-3
PC008	1184-57-2
PC008	1189-66-8
PC008	1191-80-6
PC008	1192-89-8
PC008	12002-19-6
PC008	12055-37-7
PC008	120674-92-2
PC008	12068-90-5
PC008	12136-15-1
PC008	12145-90-3
PC008	12194-11-5
PC008	122-64-5
PC008	122582-67-6
PC008	12298-67-8
PC008	123-88-6
PC008	12328-03-9
PC008	12344-40-0
PC008	123551-50-8
PC008	123720-03-6
PC008	124-01-6
PC008	124-08-3
PC008	124-82-3
PC008	12508-72-4
PC008	12529-66-7
PC008	12653-71-3
PC008	127026-24-8
PC008	1273-75-2
PC008	127620-35-3
PC008	129-16-8
PC008	129-99-7
PC008	1300-78-3
PC008	13004-83-6
PC008	1310-88-9
PC008	1312-03-4
PC008	131500-00-0
PC008	13170-76-8
PC008	1319-86-4
PC008	1320-80-5
PC008	13222-52-1
PC008	13257-51-7
PC008	13278-80-3
PC008	13294-23-0
PC008	133-58-4
PC008	13302-00-6
PC008	133350-44-4
PC008	133350-45-5
PC008	1334-77-6
PC008	133421-58-6
PC008	1335-31-5
PC008	1336-57-8
PC008	1336-96-5
PC008	13437-80-4
PC008	1344-45-2
PC008	1344-48-5
PC008	13444-75-2
PC008	1345-09-1
PC008	13464-28-3
PC008	13465-31-1
PC008	13465-33-3
PC008	13465-34-4
PC008	13465-37-7
PC008	13766-41-1
PC008	13766-44-4
PC008	138-85-2
PC008	13864-38-5
PC008	13876-85-2
PC008	13932-02-0
PC008	13967-25-4
PC008	13981-51-6
PC008	13981-51-6
PC008	13982-78-0
PC008	13982-78-0
PC008	140-20-5
PC008	14024-55-6
PC008	14024-75-0
PC008	14032-92-9
PC008	14066-61-6
PC008	14099-12-8
PC008	141-51-5
PC008	14215-33-9
PC008	14235-86-0
PC008	14239-51-1
PC008	143-36-2
PC008	143197-63-1
PC008	14354-56-4
PC008	14376-09-1
PC008	14459-36-0
PC008	14783-59-6
PC008	148-61-8
PC008	14836-60-3
PC008	149038-91-5
PC008	14990-20-6
PC008	15064-97-8
PC008	151-38-2
PC008	15116-82-2
PC008	152923-45-0
PC008	1537199-53-3
PC008	15375-94-7
PC008	15384-08-4
PC008	15385-57-6
PC008	15385-58-7
PC008	15415-64-2
PC008	155-85-1
PC008	15516-76-4
PC008	156234-43-4
PC008	156234-44-5
PC008	15682-88-9
PC008	15756-15-7
PC008	15785-93-0
PC008	15829-53-5
PC008	1600-27-7
PC008	16056-34-1
PC008	16056-37-4
